data;peso
26/08/2019;81,6
01/09/2019;81,0
08/09/2019;80,4
15/09/2019;79,9
22/09/2019;79,6
29/09/2019;79,5
06/10/2019;80,7
13/10/2019;79,2
20/10/2019;78,8
27/10/2019;79,8
03/11/2019;81,0
10/11/2019;80,3
17/11/2019;80,6
24/11/2019;81,5
01/12/2019;82,3
08/12/2019;81,5
15/12/2019;80,8
22/12/2019;81,6
29/12/2019;82,6
05/01/2020;81,0
12/01/2020;80,2
19/01/2020;81,0
26/01/2020;79,6
02/02/2020;80,3
09/02/2020;80,2
16/02/2020;78,8
23/02/2020;82,6
01/03/2020;78,8
08/03/2020;78,1
15/03/2020;78,9
22/03/2020;78,6
29/03/2020;78,1
05/04/2020;77,7
12/04/2020;77,0
19/04/2020;77,2
26/04/2020;75,9
03/05/2020;77,1
10/05/2020;76,7
17/05/2020;76,6
24/05/2020;77,2
31/05/2020;76,2
07/06/2020;75,4
14/06/2020;76,6
21/06/2020;76,4
28/06/2020;76,6
05/07/2020;76,1
12/07/2020;75,0
19/07/2020;74,5
26/07/2020;75,0
02/08/2020;73,9
09/08/2020;75,5
16/08/2020;75,5
23/08/2020;NA
30/08/2020;75,0
06/09/2020;74,2
13/09/2020;74,8
20/09/2020;76,0
27/09/2020;75,7
04/10/2020;75,7
11/10/2020;76,1
18/10/2020;75,2
25/10/2020;76,3
01/11/2020;77,7
08/11/2020;76,6
15/11/2020;NA
22/11/2020;NA
29/11/2020;NA
06/12/2020;75,1
13/12/2020;75,2
20/12/2020;75,6
26/12/2020;76,7
03/01/2021;77,3
10/01/2021;77,2
17/01/2021;76,1
24/01/2021;76,8
31/01/2021;75,3
07/02/2021;76,0
14/02/2021;75,5
21/02/2021;75,2
28/02/2021;75,1
07/03/2021;74,4
14/03/2021;74,8
21/03/2021;74,0
28/03/2021;74,2
04/04/2021;73,6
11/04/2021;74,0
18/04/2021;73,1
25/04/2021;73,3
02/05/2021;74,2
09/05/2021;74,5
16/05/2021;74,0
23/05/2021;73,8
30/05/2021;73,0
06/06/2021;74,0
13/06/2021;73,4
20/06/2021;75,3
27/06/2021;75,2
03/07/2021;74,6
10/07/2021;75,0
17/07/2021;75,4
24/07/2021;75,3
31/07/2021;76,0
07/08/2021;75,7
14/08/2021;74,2
21/08/2021;74,8
28/08/2021;74,6
04/09/2021;75,1
11/09/2021;75,5
18/09/2021;75,5
25/09/2021;75,2
